GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_21,3370,RTHA,Red-tailed Hawk,Buteo jamaicensis
_21,3380,HRLH,Harlan's Hawk,Buteo jamaicensis harlani
_21,3470,RLHA,Rough-legged Hawk,Buteo lagopus
_21,3480,FEHA,Ferruginous Hawk,Buteo regalis
_22,3240,CALC,California Condor,Gymnogyps californianus
_22,3260,BLVU,Black Vulture,Coragyps atratus
_22,3250,TUVU,Turkey Vulture,Cathartes aura
_22,3640,OSPR,Osprey,Pandion haliaetus
_22,3650,BNOW,Barn Owl,Tyto alba
_22,3740,FLOW,Flammulated Owl,Psiloscops flammeolus
_22,3734,PRSO,Puerto Rican Owl,Gymnasio nudipes
_22,3731,WHSO,Whiskered Screech-Owl,Megascops trichopsis
_22,3732,WESO,Western Screech-Owl,Megascops kennicottii
_22,3730,EASO,Eastern Screech-Owl,Megascops asio
_22,3750,GHOW,Great Horned Owl,Bubo virginianus
_22,3760,SNOW,Snowy Owl,Bubo scandiacus
_22,3770,NHOW,Northern Hawk Owl,Surnia ulula
_22,3790,NOPO,Northern Pygmy-Owl,Glaucidium gnoma
_22,3800,FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum
_22,3810,ELOW,Elf Owl,Micrathene whitneyi
_22,3780,BUOW,Burrowing Owl,Athene cunicularia
_22,3690,SPOW,Spotted Owl,Strix occidentalis
_22,3692,NSOW,Northern Spotted Owl,Strix occidentalis caurina
_22,3691,CSOW,California Spotted Owl,Strix occidentalis occidentalis
_22,3693,MSOW,Mexican Spotted Owl,Strix occidentalis lucida
_22,3686,SBOH,Spotted X Barred Owl Hybrid,Strix occidentalis x varia
_22,3680,BDOW,Barred Owl,Strix varia
_22,3700,GGOW,Great Gray Owl,Strix nebulosa
_22,3660,LEOW,Long-eared Owl,Asio otus
_22,3670,SEOW,Short-eared Owl,Asio flammeus
_22,3710,BOOW,Boreal Owl,Aegolius funereus
_22,3720,NSWO,Northern Saw-whet Owl,Aegolius acadicus
_22,3890,ELTR,Elegant Trogon,Trogon elegans
_22,9081,JATO,Jamaican Tody,Todus todus
_22,3912,PRTO,Puerto Rican Tody,Todus mexicanus
_22,3901,RIKI,Ringed Kingfisher,Megaceryle torquata
_22,3900,BEKI,Belted Kingfisher,Megaceryle alcyon
_22,3910,GKIN,Green Kingfisher,Chloroceryle americana
_22,8790,MICK,Micronesian Kingfisher,Todiramphus cinnamominus
_22,8630,COLK,Collared Kingfisher,Todiramphus chloris
_23,4080,LEWO,Lewis's Woodpecker,Melanerpes lewis
_23,4071,PRWO,Puerto Rican Woodpecker,Melanerpes portoricensis
_23,4060,RHWO,Red-headed Woodpecker,Melanerpes erythrocephalus
