,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
678,7400,BOCH,Boreal Chickadee,Poecile hudsonicus,0   0A   1C   1,0   0A   1C   1,,,,_26,15181
679,7390,GHCH,Gray-headed Chickadee,Poecile cinctus,1C   0   1,1C   0   1,,,,_26,2
680,7356,HYCH,Hybrid Chickadee,Poecile sp.,0   1C   1,0   1C   1   0A,,,,_26,3180
681,7340,BRTI,Bridled Titmouse,Baeolophus wollweberi,1   1C,1   1C   0,,,,_26,951
682,7330,OATI,Oak Titmouse,Baeolophus inornatus,1   1C,1   1C   0   1B,,,,_26,8732
683,7331,JUTI,Juniper Titmouse,Baeolophus ridgwayi,1   1C,1   1C   0   1B,,,,_26,1715
684,7339,PLTI,Plain Titmouse,Baeolophus inornatus/ B. ridgwayi,1,1,,,,_26,4
685,7310,TUTI,Tufted Titmouse,Baeolophus bicolor,1B,1B   1   1A   1P,,,,_26,184609
686,7320,BCTI,Black-crested Titmouse,Baeolophus atricristatus,1B,1B   1   1A,,,,_26,7595
687,4730,EUSK,Eurasian Skylark,Alauda arvensis,1B,1B,,,,_27,39
688,4740,HOLA,Horned Lark,Eremophila alpestris,1B,1B   1   1A,British Columbia,,,_27,17010
689,4741,SHLA,Streaked Horned Lark,Eremophila alpestris strigata,1B,1B,Y,,,_27,1723
690,7462,MILL,Millerbird,Acrocephalus familiaris,0A,0A   0,Y,,,_27,280
691,8590,NIRW,Nightingale Reed Warbler,Acrocephalus luscinius,1A   1D,1A   1D,Y,,,_27,232
692,7475,LANW,Lanceolated Warbler,Locustella lanceolata,0A,0A   0,,,,_27,1
693,6160,BANS,Bank Swallow,Riparia riparia,0   1C   1   0A,0   1C   1   0A,Alberta   British Columbia   Manitoba   New Brunswick   Newfoundland and Labrador   Nova Scotia   Ontario   Prince Edward Island   Québec   Saskatchewan   Yukon Territory   Northwest Territories,,,_27,205478
694,6140,TRES,Tree Swallow,Tachycineta bicolor,1   0   1C,1   0   1C   0A,,,,_28,1165321
695,6151,BAHS,Bahama Swallow,Tachycineta cyaneoviridis,0   1   1C,0   1   1C,,,,_27,191
696,6150,VGSW,Violet-green Swallow,Tachycineta thalassina,1   0   1C,1   0   1C   0A,,,,_27,13907
697,6170,NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,0   1C   1   0A,0   1C   1   0A,,,,_27,11823
698,6110,PUMA,Purple Martin,Progne subis,1D   1A   2,1D   1A   2,,,,_27,629264
699,6112,GBMA,Gray-breasted Martin,Progne chalybea,1A,1A,,,,_27,439
700,6113,CAMA,Caribbean Martin,Progne dominicensis,1A,1A,,,,_27,1
701,6130,BARS,Barn Swallow,Hirundo rustica,1   0,1   0   0A   1C,Alberta   British Columbia   Manitoba   New Brunswick   Newfoundland and Labrador   Nova Scotia   Ontario   Prince Edward Island   Québec   Saskatchewan   Yukon Territory   Northwest Territories,,,_27,228537
