BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B39339743949,B39339743949,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743957,B99339743957,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743063,B39339743063,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743079,B99339743079,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743083,B79339743083,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339743093,B49339743093,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339743009,B79339743009,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339743013,B49339743013,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743023,B39339743023,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B09339743039,B09339743039,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743047,B99339743047,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
